দিন	কোর্স	বিষয়	লেকচার	বিএসসি ইন নার্সিং	লেকচার	ডিপ্লোমা ইন নার্সিং	মোটিভেশনাল লাইন																			
Day-18	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-৪	বাংলাদেশের শ্রেষ্ঠ, দীর্ঘতম, ক্ষুদ্রতম, উচ্চতম, গভীরতম	সাধারন জ্ঞান-৪	বাংলাদেশের শ্রেষ্ঠ, দীর্ঘতম, ক্ষুদ্রতম, উচ্চতম, গভীরতম	​"আর মাত্র কয়েকটি দিন। এতদিন যে সংগ্রাম করেছো, তাকে বৃথা যেতে দিও না। রিভিশন চালিয়ে যাও।"																			
Day-19	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-২	গুনগত রসায়ন (বাকি অংশ)	রসায়ন-২	পদার্থের অবস্থা ও পদার্থের  গঠন 	​"ভয় পেয়ো না। তোমার প্রস্তুতি ভালো, তোমার পরিশ্রম সৎ। নিজের ওপর বিশ্বাস রাখো।"																			
Day-20	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-২	শৈবাল ও ছত্রাক, অনুজীব	জীববিজ্ঞান-২	কোষ বিভাজন, জীবনীশক্তি	​"এখন নতুন কিছু পড়ার চেয়ে, যা পড়েছো তা বারবার ঝালাই করার সময়। তুমি পারবে!"																			
Day-21	বেসিক ট এডভান্স	বাংলা	বাংলা-৫	"পুরুষ ও স্ত্রী বাচক শব্দ , বচন, সমাস
গন্তব্য কাবুল, প্রবাস বন্ধু"	বাংলা-৫	"পুরুষ ও স্ত্রী বাচক শব্দ , বচন, সমাস
গন্তব্য কাবুল, প্রবাস বন্ধু"	​"প্রতিটি সেকেন্ড এখন মহামূল্যবান। সামাজিক যোগাযোগ মাধ্যম বা আড্ডা—সবকিছু বাদ দিয়ে শুধু নিজের লক্ষ্যে ফোকাস করো।"																			
Day-22	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-৫	Adjective	ইংরেজি-৫	Adjective	​"নার্সিং ভর্তি পরীক্ষার প্রশ্ন তোমার এই ১৫০ দিনের পরিশ্রমের কাছে হার মানতে বাধ্য।"																			
Day-23	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-৫	বাংলাদেশের নদ-নদী এবং হাওড়-বিল, হ্রদ ও সমুদ্র	সাধারন জ্ঞান-৫	বাংলাদেশের নদ-নদী এবং হাওড়-বিল, হ্রদ ও সমুদ্র	​"তুমি প্রস্তুত। তোমার দীর্ঘদিনের সংগ্রাম এখন শুধু একটা চূড়ান্ত পরীক্ষার অপেক্ষায়।"																			
Day-24	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-৩	শতকরা, অনুপাত ও সমানুপাত এবং গড়	সাধারন গণিত-৩	শতকরা, অনুপাত ও সমানুপাত এবং গড়	​"মাথা ঠান্ডা রাখো, শরীর সুস্থ রাখো। তুমি তোমার সেরা প্রস্তুতিটাই নিয়েছো।"																			
Day-25	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-৩	নিউটনীয় বলবিদ্যা	পদার্থবিজ্ঞান-৩	বল, তরঙ্গ ও শব্দ	​"কোনো দ্বিধা বা ভয় নয়, পরীক্ষার হলে ঢুকবে একজন বিজয়ী হিসেবে। তোমার জয় নিশ্চিত।"																			
Day-26	বেসিক ট এডভান্স	বাংলা	বাংলা-৬	"আমার পথ, বিদ্রোহী
সুভা, অর্ধাঙ্গী"	বাংলা-৬	"আমার পথ, বিদ্রোহী
সুভা, অর্ধাঙ্গী"	​"এই ১৫০ দিনের প্রতিটি মুহূর্ত তুমি নিজের স্বপ্নের জন্য লড়েছো। তুমি চ্যাম্পিয়ন!"																			
Day-27	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-৬	"Degree of Comparison
Spelling"	ইংরেজি-৬	"Degree of Comparison
Spelling"	​"আগামীকাল তোমার নিজেকে প্রমাণের দিন। দীর্ঘ সংগ্রামের পর এবার সাদা এপ্রোন গায়ে জড়ানোর পালা!"																			
Day-28	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-৬	বৈশ্বিক ইতিহাস	সাধারন জ্ঞান-৬	বৈশ্বিক ইতিহাস																				
Day-29	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-৩	মৌলের পর্যায়বৃত্ত ধর্ম ও রাসায়নিক বন্ধন 	রসায়ন-৩	মোলের ধারনা ও রাসায়নিক গণনা  																				
Day-30	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-৩	"প্রাণীর বিভিন্নতা ও শ্রেণীবিন্যাস, 
প্রাণী পরিচিতি "	জীববিজ্ঞান-৩	গ্যাসীয় বিনিময়																				
Day-31	বেসিক ট এডভান্স	বাংলা	বাংলা-৭	"উপসর্গ,অনুসর্গ, কারক ও বিভক্তি
উমর ফারুক, যৌবনের গান"	বাংলা-৭	"উপসর্গ,অনুসর্গ, কারক ও বিভক্তি
উমর ফারুক, যৌবনের গান"																				
Day-32	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-৭	Adverb & Article	ইংরেজি-৭	Adverb & Article																				
Day-33	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-৭	ভাষা আন্দোলন, ১৯৬৯ এর গণঅভ্যুথ্যান 	সাধারন জ্ঞান-৭	ভাষা আন্দোলন, ১৯৬৯ এর গণঅভ্যুথ্যান 																				
Day-34	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-৪	লাভ ক্ষতি ও মুনাফা	সাধারন গণিত-৪	লাভ ক্ষতি ও মুনাফা																				
Day-35	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-৪	কাজ ক্ষমতা শক্তি ও মহাকর্ষ অভিকর্ষ	পদার্থবিজ্ঞান-৪	কাজ, ক্ষমতা ও শক্তি																				
Day-36	বেসিক ট এডভান্স	বাংলা	বাংলা-৮	"বিলাসী, মাসি-পিসি, বায়ান্নর দিনগুলো
জীবন বৃক্ষ, শিক্ষা ও মানুষ্যত্ব, অভাগীর স্বর্গ"	বাংলা-৮	"বিলাসী, মাসি-পিসি, বায়ান্নর দিনগুলো
জীবন বৃক্ষ, শিক্ষা ও মানুষ্যত্ব, অভাগীর স্বর্গ"																				
Day-37	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-৮	"Details of Verb
Group Verb"	ইংরেজি-৮	"Details of Verb
Group Verb"																				
Day-38	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-৮	 মহান মুক্তিযুদ্ধ	সাধারন জ্ঞান-৮	 মহান মুক্তিযুদ্ধ																				
Day-39	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-৪	রাসায়নিক পরিবর্তন 	রসায়ন-৪	রসায়ন ও শক্তি 																				
Day-40	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-৪	পরিপাক ও শোষণ, চলন ও অঙ্গচালনা	জীববিজ্ঞান-৪	খাদ্য, পুষ্টি এবং পরিপাক																				
Day-41	বেসিক ট এডভান্স	বাংলা	বাংলা-৯	"ণ-ত্ব বিধান, ষ-ত্ব বিধান, শব্দ
নেকলেস, নিম গাছ "	বাংলা-৯	"ণ-ত্ব বিধান, ষ-ত্ব বিধান, শব্দ
নেকলেস, নিম গাছ "																				
Day-42	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-৯	"Conditional Sentence
One Word Submission"	ইংরেজি-৯	"Conditional Sentence
One Word Submission"																				
Day-43	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-৯	মুক্তিযুদ্ধ পরবর্তী ঘটনাপ্রবাহ ও জুলাই আন্দোলন	সাধারন জ্ঞান-৯	মুক্তিযুদ্ধ পরবর্তী ঘটনাপ্রবাহ ও জুলাই আন্দোলন																				
Day-44	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-৫	সমান্তর ও গুনাত্তর ধারা	সাধারন গণিত-৫	সমান্তর ও গুনাত্তর ধারা																				
Day-45	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-৫	পদার্থের গাঠনিক ধর্ম ও পর্যায়বৃত্ত গতি	পদার্থবিজ্ঞান-৫	পদার্থের অবস্থা ও চাপ																				
Day-46	বেসিক ট এডভান্স	বাংলা	বাংলা-১০	"পদ প্রকরণ 
বিভীষণের প্রতি মেঘনাদ, কপোতাক্ষ নদ "	বাংলা-১০	"পদ প্রকরণ 
বিভীষণের প্রতি মেঘনাদ, কপোতাক্ষ নদ "																				
Day-47	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১০	Completing Sentence & Conjunction	ইংরেজি-১০	Completing Sentence & Conjunction																				
Day-48	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১০	যুদ্ধ বিপ্লব , আঞ্চলিক জোট	সাধারন জ্ঞান-১০	যুদ্ধ বিপ্লব , আঞ্চলিক জোট																				
Day-49	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-৫	কর্মমুখী রসায়ন + অর্থনৈতিক রসায়ন 	রসায়ন-৫	খনিজ সম্পদ: ধাতু-অধাতু																				
Day-50	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-৫	রক্ত ও সংবহন, শ্বসন ও শ্বাসক্রিয়া 	জীববিজ্ঞান-৫	দৃঢ়তা প্রদান ও চলন																				
Day-51	বেসিক ট এডভান্স	বাংলা	বাংলা-১১	"তাহারেই পড়ে মনে, আঠারো বছর বয়স
ক্রিয়া কাল "	বাংলা-১১	"তাহারেই পড়ে মনে, আঠারো বছর বয়স
ক্রিয়া কাল "																				
Day-52	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১১	"Details Of Tense
Embedded Questions"	ইংরেজি-১১	"Details Of Tense
Embedded Questions"																				
Day-53	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১১	জাতিপুঞ্জ, জাতিসংঘ ও অন্যান্য সংস্থা ও সদর দপ্তর 	সাধারন জ্ঞান-১১	জাতিপুঞ্জ, জাতিসংঘ ও অন্যান্য সংস্থা ও সদর দপ্তর 																				
Day-54	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-৬	সমীকরন ও বীজগানিতিক সূত্রাবলি	সাধারন গণিত-৬	সমীকরন ও বীজগানিতিক সূত্রাবলি																				
Day-55	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-৬	আদর্শ গ্যাস ও তাপগতিবিদ্যা	পদার্থবিজ্ঞান-৬	বস্তুর ওপর তাপের প্রভাব																				
Day-56	বেসিক ট এডভান্স	বাংলা	বাংলা-১২	"বাক্য ও বাক্যের প্রকরণ, যতিচিহ্ন
ঋতু বর্নন,  মমতাদি"	বাংলা-১২	"বাক্য ও বাক্যের প্রকরণ, যতিচিহ্ন
ঋতু বর্নন,  মমতাদি"																				
Day-57	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১২	"Narration
Dangling Modifier"	ইংরেজি-১২	"Narration
Dangling Modifier"																				
Day-58	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১২	বিশ্বের আইনসভ , সরকার ব্যবস্থ , রাজধানী, পার্লামেন্ট	সাধারন জ্ঞান-১২	বিশ্বের আইনসভ , সরকার ব্যবস্থ , রাজধানী, পার্লামেন্ট																				
Day-59	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-৬	পরিবেশ রসায়ন 	রসায়ন-৬	খনিজ সম্পদ: জীবাশ্ম																				
Day-60	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-৬	"নগ্নবীজী ও আবৃতবীজী, ব্রায়োফাইটা ও 
টেরিডোফাইটা, জীব প্রযুক্তি "	জীববিজ্ঞান-৬	জীবে পরিবহণ																				
Day-61	বেসিক ট এডভান্স	বাংলা	বাংলা-১৩	"ধাতু, প্রকৃতি-প্রত্যয় 
প্র্রত্যাবর্তনের লজ্জা, বোশেখ "	বাংলা-১৩	"ধাতু, প্রকৃতি-প্রত্যয় 
প্র্রত্যাবর্তনের লজ্জা, বোশেখ "																				
Day-62	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১৩	"Voice Change
Translation & Proverbs"	ইংরেজি-১৩	"Voice Change
Translation & Proverbs"																				
Day-63	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১৩	বিশ্বের শ্রেষ্ঠ, দীর্ঘতম, ক্ষুদ্রতম,উচ্চতম, গভীরতম নদ-নদী	সাধারন জ্ঞান-১৩	বিশ্বের শ্রেষ্ঠ, দীর্ঘতম, ক্ষুদ্রতম,উচ্চতম, গভীরতম নদ-নদী																				
Day-64	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-৭	ক্ষেত্রফল ও পরিমাপ	সাধারন গণিত-৭	ক্ষেত্রফল ও পরিমাপ																				
Day-65	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-৭	স্থির তড়িৎ ও চল তড়িৎ	পদার্থবিজ্ঞান-৭	স্থির বিদ্যুৎ, চল বিদ্যুৎ																				
Day-66	বেসিক ট এডভান্স	বাংলা	বাংলা-১৪	"মানব কল্যাণ, রেইনকোট
কর্পিদাস মুমুর শেষ কাজ , জীবন বিনিময় "	বাংলা-১৪	"মানব কল্যাণ, রেইনকোট
কর্পিদাস মুমুর শেষ কাজ , জীবন বিনিময় "																				
Day-67	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১৪	 Phrase-Clause	ইংরেজি-১৪	 Phrase-Clause																				
Day-68	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১৪	ক্ষুদ্র নৃগোষ্ঠি,জাদুঘর ,স্থাপত্য, বিখ্যাত উক্তি	সাধারন জ্ঞান-১৪	ক্ষুদ্র নৃগোষ্ঠি,জাদুঘর ,স্থাপত্য, বিখ্যাত উক্তি																				
Day-69	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-৭	পরিমানগত রসায়ন	রসায়ন-৭	রাসায়নিক বিক্রিয়া																				
Day-70	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-৭	উদ্ভিদ শারীরতত্ত্ব, জিনতত্ত্ব ও বিবর্তন 	জীববিজ্ঞান-৭	জীবের বংশগতি ও বিবর্তন																				
Day-71	বেসিক ট এডভান্স	বাংলা	বাংলা-১৫	"বিপরীতার্থক শব্দ, প্রতিশব্দ
প্রত্যুপকার, মানুষ মুহাম্মদ"	বাংলা-১৫	"বিপরীতার্থক শব্দ, প্রতিশব্দ
প্রত্যুপকার, মানুষ মুহাম্মদ"																				
Day-72	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১৫	"Right Form of Verb
Idioms & Phrase"	ইংরেজি-১৫	"Right Form of Verb
Idioms & Phrase"																				
Day-73	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১৫	বিজ্ঞান ও যোগাযোগ প্রযুক্তি, খেলাধুলা , Abbreviation	সাধারন জ্ঞান-১৫	বিজ্ঞান ও যোগাযোগ প্রযুক্তি, খেলাধুলা , Abbreviation																				
Day-74	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-৮	রেখা,কোন,ত্রিভুজ, পরিমিতি	সাধারন গণিত-৮	রেখা,কোন,ত্রিভুজ, পরিমিতি																				
Day-75	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-৮	আলোকবিজ্ঞান এবং চৌম্বকবিজ্ঞান	পদার্থবিজ্ঞান-৮	আলোর প্রতিফলন-প্রতিসরণ, বিদ্যুতের চৌম্বক ক্রিয়া																				
Day-76	বেসিক ট এডভান্স	বাংলা	বাংলা-১৬	"পারিভাষিক শব্দ, প্রবাদ, অনুবাদ
আমি কোনো আগুন্তক নই"	বাংলা-১৬	"পারিভাষিক শব্দ, প্রবাদ, অনুবাদ
আমি কোনো আগুন্তক নই"																				
Day-77	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১৬	Subject-Verb Agreement	ইংরেজি-১৬	Subject-Verb Agreement																				
Day-78	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১৬	স্মরণীয় ব্যাক্তি, বাংলা সাহিত্য	সাধারন জ্ঞান-১৬	স্মরণীয় ব্যাক্তি, বাংলা সাহিত্য																				
Day-79	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-৮	জৈব রসায়ন -১	রসায়ন-৮	মৌলের পর্যায়বৃত্ত ধর্ম ও রাসায়নিক বন্ধন 																				
Day-80	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-৮	"উদ্ভিদ প্রজনন, টিস্যু ও টিস্যুতন্ত্র, 
জীবের পরিবেশ বিস্তার ও সংরক্ষণ "	জীববিজ্ঞান-৮	জীবের প্রজনন ও জীবপ্রযুক্তি																				
Day-81	বেসিক ট এডভান্স	বাংলা	বাংলা-১৭	"ফ্রেবুয়ারী ১৯৬৯, আমি কিংবদন্তির কথা বলছি
একুশের গল্প, সুখ"	বাংলা-১৭	"ফ্রেবুয়ারী ১৯৬৯, আমি কিংবদন্তির কথা বলছি
একুশের গল্প, সুখ"																				
Day-82	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১৭	"Causative & Subjunctive Verb
Affirmative-Negative Agreement"	ইংরেজি-১৭	"Causative & Subjunctive Verb
Affirmative-Negative Agreement"																				
Day-83	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১৭	পুরষ্কার ও সম্মাননা 	সাধারন জ্ঞান-১৭	পুরষ্কার ও সম্মাননা 																				
Day-84	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-৯	বৃত্ত ও কণিক	সাধারন গণিত-৯	বৃত্ত ও কণিক																				
Day-85	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-৯	আধুনিক পদার্থবিজ্ঞান এবং নিউক্লিয়ার পদার্থবিজ্ঞান	পদার্থবিজ্ঞান-৯	আধুনিক পদার্থবিজ্ঞান ও ইলেকট্রনিকস																				
Day-86	বেসিক ট এডভান্স	বাংলা	বাংলা-১৮	"এক কথায় প্রকাশ, বাগধারা
তোমাকে পাওয়ার জন্য হে স্বাধীনতা"	বাংলা-১৮	"এক কথায় প্রকাশ, বাগধারা
তোমাকে পাওয়ার জন্য হে স্বাধীনতা"																				
Day-87	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১৮	"Sentence
 Confusing Word"	ইংরেজি-১৮	"Sentence
 Confusing Word"																				
Day-88	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১৮	গুরুত্বপূর্ণ চুক্তি, গোয়েন্দা সংস্থা , প্রণালী, সীমারেখা	সাধারন জ্ঞান-১৮	গুরুত্বপূর্ণ চুক্তি, গোয়েন্দা সংস্থা , প্রণালী, সীমারেখা																				
Day-89	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-৯	জৈব রসায়ন -২	রসায়ন-৯	আমাদের জীবনে রসায়ন																				
Day-90	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-৯	"মানব জীবনের ধারাবাহিকতা, 
সমন্বয় ও নিয়ন্ত্রণ, বর্জ্য ও নিষ্কাশন"	জীববিজ্ঞান-৯	রেচন প্রক্রিয়া ,সমন্বয়																				
Day-91	বেসিক ট এডভান্স	বাংলা	বাংলা-১৯	"বানান শুদ্ধিকরন
ধ্বনি ও বর্ন, আভিধানিক ক্রম "	বাংলা-১৯	"বানান শুদ্ধিকরন
ধ্বনি ও বর্ন, আভিধানিক ক্রম "																				
Day-92	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১৯	"Transformation Of Sentence
Parallelism, Redundancy"	ইংরেজি-১৯	"Transformation Of Sentence
Parallelism, Redundancy"																				
Day-93	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১৯	মানবিক গুনাবলী	সাধারন জ্ঞান-১৯	মানবিক গুনাবলী																				
Day-94	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-১০	সূচক লগ ও ত্রিকোণমিতি	সাধারন গণিত-১০	সূচক লগ ও ত্রিকোণমিতি																				
Day-95	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-১০	সেমিকন্ডাক্টর এবং জীবনমুখী পদার্থবিজ্ঞান	পদার্থবিজ্ঞান-১০	জীবন বাঁচাতে পদার্থবিজ্ঞান																				
Day-96	বেসিক ট এডভান্স	বাংলা	বাংলা-২০	"লালসালু, সিরাজউদ্দৌলা
সুচেতনা, সেইদিন এই মাঠ "	বাংলা-২০	"লালসালু, সিরাজউদ্দৌলা
সুচেতনা, সেইদিন এই মাঠ "																				
Day-97	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-২০	"Literature
Miscellaneous"	ইংরেজি-২০	"Literature
Miscellaneous"																				
